index,latitude,longitude,elevation_m
223,35.651934,-117.676079,90.0
224,35.651936,-117.676167,90.0
225,35.651937,-117.676255,90.0
226,35.651938,-117.676344,90.0
227,35.65194,-117.676432,90.0
228,35.651941,-117.67652,90.0
229,35.651942,-117.676609,90.0
230,35.651944,-117.676697,90.0
231,35.651945,-117.676785,90.0
232,35.651946,-117.676874,90.0
233,35.651948,-117.676962,90.0
234,35.651949,-117.677051,90.0
235,35.65195,-117.677139,90.0
236,35.651952,-117.677227,90.0
237,35.651953,-117.677316,90.0
238,35.651954,-117.677404,90.0
239,35.651956,-117.677492,90.0
240,35.651957,-117.677581,90.0
241,35.651958,-117.677669,90.0
242,35.65196,-117.677757,90.0
243,35.651961,-117.677846,90.0
244,35.651962,-117.677934,90.0
245,35.651963,-117.678023,90.0
246,35.651965,-117.678111,90.0
247,35.651966,-117.678199,90.0
248,35.651967,-117.678288,90.0
249,35.651969,-117.678376,90.0
250,35.65197,-117.678464,90.0
251,35.651971,-117.678553,90.0
252,35.651973,-117.678641,90.0
253,35.651974,-117.678729,90.0
254,35.651975,-117.678818,90.0
255,35.651977,-117.678906,90.0
268,35.651978,-117.678994,90.0
269,35.651978,-117.679055,90.0
270,35.651978,-117.679143,90.0
271,35.651978,-117.679232,90.0
272,35.651978,-117.67932,90.0
273,35.651979,-117.679409,90.0
274,35.651979,-117.679497,90.0
275,35.651979,-117.679585,90.0
276,35.651979,-117.679674,90.0
277,35.651979,-117.679762,90.0
278,35.65198,-117.67985,90.0
279,35.65198,-117.679939,90.0
280,35.65198,-117.680027,90.0
281,35.65198,-117.680116,90.0
282,35.65198,-117.680204,90.0
283,35.65198,-117.680292,90.0
284,35.651981,-117.680381,90.0
285,35.651981,-117.680469,90.0
286,35.651981,-117.680557,90.0
287,35.651981,-117.680646,90.0
288,35.651981,-117.680734,90.0
289,35.651982,-117.680822,90.0
290,35.651982,-117.680911,90.0
291,35.651982,-117.680999,90.0
292,35.651982,-117.681088,90.0
293,35.651982,-117.681176,90.0
294,35.651982,-117.681264,90.0
295,35.651983,-117.681353,90.0
296,35.651983,-117.681441,90.0
297,35.651983,-117.681529,90.0
298,35.651983,-117.681618,90.0
299,35.651983,-117.681706,90.0
300,35.651984,-117.681795,90.0
301,35.651984,-117.681883,90.0
302,35.651984,-117.681971,90.0
303,35.651984,-117.68206,90.0
304,35.651984,-117.682148,90.0
305,35.651984,-117.682236,90.0
306,35.651985,-117.682325,90.0
307,35.651985,-117.682413,90.0
308,35.651985,-117.682502,90.0
309,35.651985,-117.68259,90.0
310,35.651985,-117.682678,90.0
311,35.651986,-117.682767,90.0
312,35.651986,-117.682855,90.0
313,35.651986,-117.682943,90.0
314,35.651986,-117.683032,90.0
315,35.651986,-117.68312,90.0
316,35.651986,-117.683209,90.0
317,35.651987,-117.683297,90.0
318,35.651987,-117.683385,90.0
319,35.651987,-117.683474,90.0
320,35.651987,-117.683562,90.0
321,35.651987,-117.68365,90.0
322,35.651988,-117.683739,90.0
323,35.651988,-117.683827,90.0
324,35.651988,-117.683916,90.0
325,35.651988,-117.684004,90.0
326,35.651988,-117.684092,90.0
327,35.651988,-117.684181,90.0
328,35.651989,-117.684269,90.0
329,35.651989,-117.684357,90.0
330,35.651989,-117.684446,90.0
331,35.651989,-117.684534,90.0
332,35.651989,-117.684622,90.0
333,35.65199,-117.684711,90.0
334,35.65199,-117.684799,90.0
335,35.65199,-117.684888,90.0
336,35.65199,-117.684976,90.0
337,35.65199,-117.685064,90.0
338,35.65199,-117.685153,90.0
339,35.651991,-117.685241,90.0
340,35.651991,-117.685329,90.0
341,35.651991,-117.685418,90.0
342,35.651991,-117.685506,90.0
343,35.651991,-117.685595,90.0
344,35.651991,-117.685683,90.0
345,35.651992,-117.685771,90.0
346,35.651992,-117.68586,90.0
347,35.651992,-117.685948,90.0
348,35.651992,-117.686036,90.0
349,35.651992,-117.686125,90.0
350,35.651993,-117.686213,90.0
351,35.651993,-117.686302,90.0
352,35.651993,-117.68639,90.0
353,35.651993,-117.686478,90.0
354,35.651993,-117.686567,90.0
355,35.651993,-117.686655,90.0
356,35.651994,-117.686743,90.0
357,35.651994,-117.686832,90.0
358,35.651994,-117.68692,90.0
359,35.651994,-117.687009,90.0
360,35.651994,-117.687097,90.0
361,35.651994,-117.687185,90.0
362,35.651995,-117.687274,90.0
363,35.651995,-117.687362,90.0
364,35.651995,-117.68745,90.0
365,35.651995,-117.687539,90.0
366,35.651995,-117.687627,90.0
367,35.651996,-117.687715,90.0
368,35.651996,-117.687804,90.0
369,35.651996,-117.687892,90.0
370,35.651996,-117.687981,90.0
371,35.651996,-117.688069,90.0
372,35.651996,-117.688157,90.0
373,35.651997,-117.688246,90.0
374,35.651997,-117.688334,90.0
375,35.651997,-117.688422,90.0
376,35.651997,-117.688511,90.0
377,35.651997,-117.688599,90.0
378,35.651997,-117.688688,90.0
379,35.651998,-117.688776,90.0
380,35.651998,-117.688864,90.0
381,35.651998,-117.688953,90.0
382,35.651998,-117.689041,90.0
383,35.651998,-117.689129,90.0
384,35.651999,-117.689218,90.0
385,35.651999,-117.689306,90.0
386,35.651999,-117.689395,90.0
387,35.651999,-117.689483,90.0
388,35.651999,-117.689571,90.0
389,35.651999,-117.68966,90.0
390,35.652,-117.689748,90.0
391,35.652,-117.689836,90.0
392,35.652,-117.689925,90.0
393,35.652,-117.690013,90.0
394,35.652,-117.690102,90.0
395,35.652,-117.69019,90.0
396,35.652001,-117.690278,90.0
397,35.652001,-117.690367,90.0
398,35.652001,-117.690455,90.0
399,35.652001,-117.690543,90.0
400,35.652001,-117.690632,90.0
401,35.652002,-117.69072,90.0
402,35.652002,-117.690809,90.0
403,35.652002,-117.690897,90.0
404,35.652002,-117.690985,90.0
405,35.652002,-117.691074,90.0
406,35.652002,-117.691162,90.0
407,35.652003,-117.69125,90.0
408,35.652003,-117.691339,90.0
409,35.652003,-117.691427,90.0
410,35.652003,-117.691515,90.0
411,35.652003,-117.691604,90.0
412,35.652003,-117.691692,90.0
413,35.652004,-117.691781,90.0
414,35.652004,-117.691869,90.0
415,35.652004,-117.691957,90.0
416,35.652004,-117.692046,90.0
417,35.652004,-117.692134,90.0
418,35.652004,-117.692222,90.0
419,35.652005,-117.692311,90.0
420,35.652005,-117.692399,90.0
421,35.652005,-117.692488,90.0
422,35.652005,-117.692576,90.0
423,35.652005,-117.692664,90.0
424,35.652006,-117.692753,90.0
425,35.652006,-117.692841,90.0
426,35.652006,-117.692929,90.0
427,35.652006,-117.693018,90.0
